pid,name,birthdate,college,height,weight,current_team
251,Vince Hunter,5-Aug-94,University of Texas at El Paso,81,215,Memphis Grizzlies
252,Serge Ibaka,18-Sep-89,,83,225,Toronto Raptors
253,Andre Iguodala,28-Jan-84,University of Arizona,77,185,Golden State Warriors
254,Ersan Ilyasova,15-May-87,,71,175,Philadelphia 76ers
255,Joe Ingles,2-Oct-87,,83,220,Utah Jazz
256,Brandon Ingram,2-Sep-97,Duke University,81,210,Los Angeles Lakers
257,Kyrie Irving,23-Mar-92,Duke University,82,222,Boston Celtics
258,Jonathan Isaac,3-Oct-97,Florida State University,77,200,Orlando Magic
259,Wesley Iwundu,20-Dec-94,Kansas State University,85,260,Orlando Magic
260,Jarrett Jack,28-Oct-83,Georgia Institute of Technology,79,230,New York Knicks
261,Demetrius Jackson,7-Sep-94,University of Notre Dame,85,245,Philadelphia 76ers
262,Josh Jackson,10-Feb-97,University of Kansas,82,228,Phoenix Suns
263,Justin Jackson,28-Mar-95,University of North Carolina,79,203,Sacramento Kings
264,Pierre Jackson,29-Aug-91,Baylor University,78,209,
265,Reggie Jackson,16-Apr-90,Boston College,75,195,Detroit Pistons
266,LeBron James,30-Dec-84,,75,200,Cleveland Cavaliers
267,Mike James,18-Aug-90,Lamar University,79,192,New Orleans Pelicans
268,Al Jefferson,4-Jan-85,,81,220,Indiana Pacers
269,Richard Jefferson,21-Jun-80,University of Arizona,84,275,Denver Nuggets
270,John Jenkins,6-Mar-91,Vanderbilt University,84,255,
271,Brandon Jennings,23-Sep-89,,82,251,Milwaukee Bucks
272,Jonas Jerebko,2-Mar-87,,72,205,Utah Jazz
273,Amir Johnson,1-May-87,,78,205,Philadelphia 76ers
274,Brice Johnson,27-Jun-94,University of North Carolina,82,215,Memphis Grizzlies
275,Dakari Johnson,22-Sep-95,University of Kentucky,82,234,Oklahoma City Thunder
276,James Johnson,20-Feb-87,Wake Forest University,75,203,Miami Heat
277,Joe Johnson,29-Jun-81,University of Arkansas,73,160,Houston Rockets
278,Stanley Johnson,29-May-96,University of Arizona,83,250,Detroit Pistons
279,Tyler Johnson,7-May-92,"California State University, Fresno",85,216,Miami Heat
