gid,date_time_start,stadium,is_playoff,home_team,away_team,home_points,away_points
43059DAL,11/20/17 08:30,American Airlines Center,FALSE,Dallas Mavericks,Boston Celtics,102,110
43059SA,11/20/17 08:30,AT&T Center,FALSE,San Antonio Spurs,Atlanta Hawks,96,85
43059SAC,11/20/17 10:00,Power Balance Pavilion,FALSE,Sacramento Kings,Denver Nuggets,98,114
43060LAL,11/21/17 10:30,Staples Center,FALSE,Los Angeles Lakers,Chicago Bulls,103,94
43061CHA,11/22/17 07:00,Time Warner Cable Arena,FALSE,Charlotte Hornets,Washington Wizards,129,124
43061CLE,11/22/17 07:00,Quicken Loans Arena,FALSE,Cleveland Cavaliers,Brooklyn Nets,119,109
43061PHI,11/22/17 07:00,Wells Fargo Center,FALSE,Philadelphia 76ers,Portland Trail Blazers,101,81
43061ATL,11/22/17 07:30,Philips Arena,FALSE,Atlanta Hawks,Los Angeles Clippers,103,116
43061MIA,11/22/17 07:30,AmericanAirlines Arena,FALSE,Miami Heat,Boston Celtics,104,98
43061NY,11/22/17 07:30,Madison Square Garden,FALSE,New York Knicks,Toronto Raptors,108,100
43061HOU,11/22/17 08:00,Toyota Center,FALSE,Houston Rockets,Denver Nuggets,125,95
43061MEM,11/22/17 08:00,FedExForum,FALSE,Memphis Grizzlies,Dallas Mavericks,94,95
43061MIN,11/22/17 08:00,Target Center,FALSE,Minnesota Timberwolves,Orlando Magic,124,118
43061NO,11/22/17 08:00,New Orleans Arena,FALSE,New Orleans Pelicans,San Antonio Spurs,107,90
43061OKC,11/22/17 08:00,Chesapeake Energy Arena,FALSE,Oklahoma City Thunder,Golden State Warriors,108,91
